State,Name,COWsys,GWsys,Indep,Viol,Type,From,IndepTC,ViolTC,TypeTC,FromTC,IndepP2,ViolP2,TypeP2,Notes
2,United States of America,18160101,18160101,178309,1,2,200,181601,-9,0,-9,1800,-9,0,
20,Canada,19200110,18670701,186707,0,2,200,192012,0,-9,200,1867,0,1,
31,Bahamas,19730710,19730710,197307,0,2,200,197307,0,-9,200,-9,-9,-9,
40,Cuba,19020520,19020520,190205,0,2,2,190205,0,-9,2,1902,0,2,COW system interrupted 1906-9 (US occup)
41,Haiti,18590101,18160101,180401,1,2,220,185901,0,0,-9,1820,1,1,COW system interrupted 1915-34 (US occup)
42,Dominican Republic,18940101,18440227,184402,1,3,41,182111,0,-9,230,1844,1,3,COW system interrupted 1916-24 (US occup); terr chg data incl 1865 indep from Spain
51,Jamaica,19620806,19620806,196208,0,2,200,196208,0,-9,200,1959,0,2,
52,Trinidad and Tobago,19620831,19620831,196208,0,2,200,196208,0,-9,200,1962,0,2,
53,Barbados,19661130,19661130,196611,0,2,200,196611,0,-9,200,-9,-9,-9,
54,Dominica,19781103,-9,197811,0,2,200,197811,0,-9,200,-9,-9,-9,
55,Grenada,19740207,-9,197402,0,2,200,197402,0,-9,200,-9,-9,-9,
56,St. Lucia,19790222,-9,197902,0,2,200,197902,0,-9,200,-9,-9,-9,
57,St. Vincent and the Grenadines,19791027,-9,197910,0,2,200,197910,0,-9,200,-9,-9,-9,
58,Antigua and Barbuda,19811101,-9,198111,0,2,200,198111,0,-9,200,-9,-9,-9,
60,St. Kitts and Nevis,19830919,-9,198309,0,2,200,198309,0,-9,200,-9,-9,-9,
70,Mexico,18310101,18210701,182109,1,2,230,182103,0,-9,230,1822,1,2,
80,Belize,19810921,19810921,198109,0,2,200,198109,0,-9,200,-9,-9,-9,
90,Guatemala,18680101,18400101,183904,1,3,89,184901,-9,0,-9,1839,1,3,Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)
91,Honduras,18990101,18400101,183811,1,3,89,189901,-9,0,-9,1839,1,3,Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)
92,El Salvador,18750101,18400101,184004,1,3,89,187501,-9,0,-9,1841,1,3,Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)
93,Nicaragua,19000101,18400101,183804,1,3,89,190001,-9,0,-9,1838,1,3,Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)
94,Costa Rica,19200101,18400101,183811,1,3,89,192101,-9,0,-9,1838,1,3,Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)
95,Panama,19200101,19031103,190311,1,3,100,190311,1,3,100,1903,1,3,
100,Colombia,18310101,18300923,181912,1,2,230,181912,0,-9,230,1832,0,4,I (and COW) consider Gran Colombia (G&W system: 8/30/1821-9/22/1830) same entity as Colombia
