dyad,statelno,statelab,statehno,statehab,conttype,begin,end,notes,version
2020,2,"USA",20,"CAN",1,192001,201612,"Begins with CAN system entry",3.2
2031,2,"USA",31,"BHM",4,197307,201612,"Across Atlantic Ocean (closest=Florida-Bimini); begins with BHM system entry",3.2
2040,2,"USA",40,"CUB",4,190205,190609,"Across Florida Straits (closest=Key West); begins with CUB system entry; ends with USA occupation of CUB",3.2
2040,2,"USA",40,"CUB",4,190901,201612,"Across Florida Straits (closest=Key West); resumes after USA occupation of CUB ends",3.2
2070,2,"USA",70,"MEX",1,183101,201612,"Begins with MEX system entry",3.2
2365,2,"USA",365,"RUS",2,195901,201612,"Across Bering Strait (closest=Alaska-Siberia); becomes interstate border with Alaskan statehood",3.2
31040,31,"BHM",40,"CUB",4,197307,201612,"Across Atlantic Ocean (closest=Great Inagua); begins with BHM system entry",3.2
31041,31,"BHM",41,"HAI",4,197307,201612,"Across Atlantic Ocean (closest=Great Inagua); begins with BHM system entry",3.2
31042,31,"BHM",42,"DOM",4,197307,201612,"Across Atlantic Ocean (closest=Great Inagua); begins with BHM system entry",3.2
31051,31,"BHM",51,"JAM",5,197307,201612,"Across Windward Passage (closest=Great Inagua); begins with BHM system entry",3.2
40041,40,"CUB",41,"HAI",4,190205,190609,"Across Windward Passage; begins with CUB system entry; ends with USA occupation of CUB",3.2
40041,40,"CUB",41,"HAI",4,190901,191507,"Across Windward Passage; resumes after USA occupation of CUB ends; ends with USA occupation of HAI",3.2
40041,40,"CUB",41,"HAI",4,193408,201612,"Across Windward Passage; resumes after USA occupation of HAI ends",3.2
40042,40,"CUB",42,"DOM",5,190205,190609,"Across Windward Passage (closest=Great Inagua); begins with CUB system entry; ends with USA occupation of CUB",3.2
40042,40,"CUB",42,"DOM",5,190901,191611,"Across Windward Passage; resumes after USA occupation of CUB ends; ends with USA occupation of DOM",3.2
40042,40,"CUB",42,"DOM",5,192409,201612,"Across Windward Passage; resumes after USA occupation of DOM ends",3.2
40051,40,"CUB",51,"JAM",4,196208,201612,"Across Caribbean Sea; begins with JAM system entry",3.2
40070,40,"CUB",70,"MEX",4,190205,190609,"Across Yucatan Channel; begins with CUB system entry; ends with USA occupation of CUB",3.2
40070,40,"CUB",70,"MEX",4,190901,201612,"Across Yucatan Channel; resumes after USA occupation of CUB ends",3.2
40080,40,"CUB",80,"BLZ",5,198109,201612,"Across Caribbean Sea; begins with BLZ system entry",3.2
40091,40,"CUB",91,"HON",5,190205,190609,"Across Caribbean Sea; begins with CUB system entry; ends with USA occupation of CUB",3.2
40091,40,"CUB",91,"HON",5,190901,201612,"Across Caribbean Sea; resumes after USA occupation of CUB ends",3.2
41042,41,"HAI",42,"DOM",1,189401,191507,"Begins with DOM system entry; ends with USA occupation of HAI",3.2
41042,41,"HAI",42,"DOM",1,193408,201612,"Resumes after USA occupation of HAI ends",3.2
41051,41,"HAI",51,"JAM",4,196208,201612,"Across Jamaica Channel; begins with JAM system entry",3.2
41100,41,"HAI",100,"COL",5,185901,191507,"Across Caribbean Sea; begins with HAI system entry; ends with USA occupation of HAI",3.2
