stateno,stateab,year,total,land,sea,version
2,"USA",1816,0,0,0,3.2
2,"USA",1817,0,0,0,3.2
2,"USA",1818,0,0,0,3.2
2,"USA",1819,0,0,0,3.2
2,"USA",1820,0,0,0,3.2
2,"USA",1821,0,0,0,3.2
2,"USA",1822,0,0,0,3.2
2,"USA",1823,0,0,0,3.2
2,"USA",1824,0,0,0,3.2
2,"USA",1825,0,0,0,3.2
2,"USA",1826,0,0,0,3.2
2,"USA",1827,0,0,0,3.2
2,"USA",1828,0,0,0,3.2
2,"USA",1829,0,0,0,3.2
2,"USA",1830,0,0,0,3.2
2,"USA",1831,1,1,0,3.2
2,"USA",1832,1,1,0,3.2
2,"USA",1833,1,1,0,3.2
2,"USA",1834,1,1,0,3.2
2,"USA",1835,1,1,0,3.2
2,"USA",1836,1,1,0,3.2
2,"USA",1837,1,1,0,3.2
2,"USA",1838,1,1,0,3.2
2,"USA",1839,1,1,0,3.2
2,"USA",1840,1,1,0,3.2
2,"USA",1841,1,1,0,3.2
2,"USA",1842,1,1,0,3.2
2,"USA",1843,1,1,0,3.2
2,"USA",1844,1,1,0,3.2
2,"USA",1845,1,1,0,3.2
2,"USA",1846,1,1,0,3.2
2,"USA",1847,1,1,0,3.2
2,"USA",1848,1,1,0,3.2
2,"USA",1849,1,1,0,3.2
2,"USA",1850,1,1,0,3.2
2,"USA",1851,1,1,0,3.2
2,"USA",1852,1,1,0,3.2
2,"USA",1853,1,1,0,3.2
2,"USA",1854,1,1,0,3.2
2,"USA",1855,1,1,0,3.2
2,"USA",1856,1,1,0,3.2
2,"USA",1857,1,1,0,3.2
2,"USA",1858,1,1,0,3.2
2,"USA",1859,1,1,0,3.2
2,"USA",1860,1,1,0,3.2
2,"USA",1861,1,1,0,3.2
2,"USA",1862,1,1,0,3.2
2,"USA",1863,1,1,0,3.2
2,"USA",1864,1,1,0,3.2
2,"USA",1865,1,1,0,3.2
2,"USA",1866,1,1,0,3.2
2,"USA",1867,1,1,0,3.2
2,"USA",1868,1,1,0,3.2
2,"USA",1869,1,1,0,3.2
2,"USA",1870,1,1,0,3.2
2,"USA",1871,1,1,0,3.2
2,"USA",1872,1,1,0,3.2
2,"USA",1873,1,1,0,3.2
2,"USA",1874,1,1,0,3.2
2,"USA",1875,1,1,0,3.2
2,"USA",1876,1,1,0,3.2
2,"USA",1877,1,1,0,3.2
