obsid	leadid	ccode	idacr	leader	startdate	enddate	entry	exit	exitcode	prevtimesinoffice	posttenurefate	gender	yrborn	yrdied	borndate	deathdate	dbpedia.uri	num.entry	num.exit	num.exitcode	num.posttenurefate	fties	ftcur
USA-1869	81dcc176-1e42-11e4-b4cd-db5882bf8def	2	USA	Grant	1869-03-04	1869-12-31	Regular	(n_year)	.	.	.	M	1822	1885	NA	1885-07-23	http://dbpedia.org/resource/Ulysses_S._Grant	0	.	.	.	NA	NA
USA-1869	81dcc176-1e42-11e4-b4cd-db5882bf8def	2	USA	Grant	1870-01-01	1870-12-31	(p_year)	(n_year)	.	.	.	M	1822	1885	NA	1885-07-23	http://dbpedia.org/resource/Ulysses_S._Grant	.	.	.	.	NA	NA
USA-1869	81dcc176-1e42-11e4-b4cd-db5882bf8def	2	USA	Grant	1871-01-01	1871-12-31	(p_year)	(n_year)	.	.	.	M	1822	1885	NA	1885-07-23	http://dbpedia.org/resource/Ulysses_S._Grant	.	.	.	.	NA	NA
USA-1869	81dcc176-1e42-11e4-b4cd-db5882bf8def	2	USA	Grant	1872-01-01	1872-12-31	(p_year)	(n_year)	.	.	.	M	1822	1885	NA	1885-07-23	http://dbpedia.org/resource/Ulysses_S._Grant	.	.	.	.	NA	NA
USA-1869	81dcc176-1e42-11e4-b4cd-db5882bf8def	2	USA	Grant	1873-01-01	1873-12-31	(p_year)	(n_year)	.	.	.	M	1822	1885	NA	1885-07-23	http://dbpedia.org/resource/Ulysses_S._Grant	.	.	.	.	NA	NA
USA-1869	81dcc176-1e42-11e4-b4cd-db5882bf8def	2	USA	Grant	1874-01-01	1874-12-31	(p_year)	(n_year)	.	.	.	M	1822	1885	NA	1885-07-23	http://dbpedia.org/resource/Ulysses_S._Grant	.	.	.	.	NA	NA
USA-1869	81dcc176-1e42-11e4-b4cd-db5882bf8def	2	USA	Grant	1875-01-01	1875-12-31	(p_year)	(n_year)	.	.	.	M	1822	1885	NA	1885-07-23	http://dbpedia.org/resource/Ulysses_S._Grant	.	.	.	.	NA	NA
USA-1869	81dcc176-1e42-11e4-b4cd-db5882bf8def	2	USA	Grant	1876-01-01	1876-12-31	(p_year)	(n_year)	.	.	.	M	1822	1885	NA	1885-07-23	http://dbpedia.org/resource/Ulysses_S._Grant	.	.	.	.	NA	NA
USA-1869	81dcc176-1e42-11e4-b4cd-db5882bf8def	2	USA	Grant	1877-01-01	1877-03-04	(p_year)	Regular	Regular	0	OK	M	1822	1885	NA	1885-07-23	http://dbpedia.org/resource/Ulysses_S._Grant	.	.	0	0	NA	NA
USA-1877	81dcc177-1e42-11e4-b4cd-db5882bf8def	2	USA	Hayes	1877-03-04	1877-12-31	Regular	(n_year)	.	.	.	M	1822	1893	NA	1893-01-17	http://dbpedia.org/resource/Rutherford_B._Hayes	0	.	.	.	NA	NA
