,StatID,Label,Rat,Constitutional Description,Source
1,SMR,San Marino,2,"San Marino, officially the Republic of San Marino, is an enclaved micro state surrounded by Italy. San Marino is governed by the Constitution of San Marino (Leges Statutae Republicae Sancti Marini). As provided by law, the Grand and General Council has the power to ratify treaties with other countries. Also, the Congress of State collegially implements international policies, as well as international treaties and agreements concerning general international policies and matters relevant for the State’s security, without prejudice to the functions performed by the Great and General Council. In conformity with Art. 5 of Constitutional Law, the Captains Regent promulgate and order the publication of the decrees ratifying international treaties and agreements, following the decision by the Great and General Council, as well as the decrees adopted by the Congress of State in conformity with Article 3 bis, fifth paragraph of the Declaration on the Citizens’ Rights, which must be signed also by the Minister of Internal Affairs.",http://www.sanmarino.sm/on-line/search.jsp?instance=43&channel=44000068&node=44003217&hitsPerPage=10&query=treaties&x=0&y=0
48,IRN,Iran_Islamic Republic of Iran,2,"The Constitution of Islamic Republic of Iran, amended in 1989, is based on the governance of the jurisprudent. As provided by law, Art. 77 indicates the legislative power of ratifying treaties; treaties, transactions, contract and all international agreements must be ratified by the Islamic Consultative Assembly (Majiles). The executive power indicates the power of the government of Iran, pertaining to all the treaties, transactions, agreements, and contracts. It says that after they are approved by the Islamic Consultative Assembly, must by signed by the President of the Republic or his legal representative.","The Constitution of the Islamic Republic of Iran. The Legislative Power: The Chap. 6, Part 1, Art. 77; The Executive Power: Chap. 9, Section 1, Art. 125. https://www.wipo.int/edocs/lexdocs/laws/en/ir/ir001en.pdf"
135,AND,Andorra,3,"Andorra is a Democratic and Social independent State abiding by the Rule of Law. According to the Constitution of the Principality of Andorra, the authority and power of the ratification of treaties  are dedicated to the the Coprinces, General Council, and the Constitutional Court. The Coprinces express the consent of the State to honour its international treaties under the provisions of the General Council. The Constitution request the approval of the absolute majority of the members of the General Council, or a majority of two-thirds of the members of the General Council. In the cases of the unconstitutionality of the international treaties, the Coprinces shall request opinions to the Constitutional Court. ","The Constitution of the Principality of Andorra. Executive Power: Title III, Art. 45 (h); Legislative Power: Title IV, Chap. III, Art. 64, 65, 66, 67; Constitutional Court: Title VIII, Art. 98, 101. https://www.wipo.int/edocs/lexdocs/laws/en/ad/ad001en.pdf"
145,AUH,Austria-Hungary,3,"By constitution, at the foundation of the dual system in 1867, the Austro-Hungarian Monarchy consists of the two separate and sovereign States of Austria and Hungary. Each state provided its own parliament, government and its own Crown. The two offices of Emperor of Austria and King of Hungary are distinct, but by the constitution, they vest in the same person. Even the two offices are independent. Minister for War and Minister for Foreign Affairs are to be found in the joint ministry of Austria-Hungary, which is attached to a joint parliament, providing the element of a common legislature of Austria-Hungary. The joint legislature, the Delegations consists of two committees appointed by and from the two parliament of Austria and of Hungary. The Delegations are to control foreign affairs, but treaties must be ratified by the two separate parliaments. ",https://www.jstor.org/stable/30082697
150,HSE,Hesse Electoral,NA,,https://en.wikisource.org/wiki/Translation:Constitution_of_the_State_of_Hesse
151,HSG,Hesse Grand Ducal,NA,,
154,MEC,Mecklenburg Schwerin,NA,,
156,MOD,Modena,2,"The first written constitution which appeared in Italy was known as the “Constituzione della Repubilica Cispadana.” It was adopted by the representatives of Bologna, Ferrara, Modena and Reggio, accepted by the people and published on the twenty-seventh of March, 1797. The main provisions were that the division of legislative power and executive power in that the legislative power should be exercised by two councils. The executive authority was placed in the hands of a Directory of three members elected by the legislative bodies. The Executive was expected to look to the security of the Republic, both within and without, having the power to issue proclamations in conformity with the law. The various administrative bodies occupied about the same position as at present. The 1848 Constitution by the Kingdom of Sardinia shows the role of the Advisory Council of State, the examination of foreign treaties as well as all matters pertaining to foreign affairs. ",1848 Constitution. https://doi.org/10.1177/000271629400500902
160,PMA,Parma,NA,,
162,SAX,Saxony,NA,,
163,SIC,Two Sicilies,NA,,
215,OFS,Orange Free State,NA,,
219,MCO,Monaco,1,The principle of government is a hereditary and constitutional nomarchy. The executive power is exercised by the highest authority of the Prince. The legislative power is jointly exercised by the Prince and the National Council. The Prince signs and ratifies treaties after consulting the Crown Council. The National Council does not have treaty ratification powers explicitly. ,"Constitution of the Principality, December 17th 1962 (as amended by Law n° Section 1.249 dated April 2nd 2002). Chap. II, Art. 13, 14.http://www.monaco-consulate.com/wp-content/uploads/2009/06/Constitution.pdf"
270,VAT,Papal States,NA,,
281,YUG,Yugoslavia,2,Constitution of the Federal Republic of Yugoslavia affirms that International treaties which have been ratified shall be a constituent part of the internal legal order. The powers and duties of treaty ratification belong to Federal Assembly and the President of the Republic. ,"Constitution of the Federal Republic of Yugoslavia, April, 1992. Basic Provisions: Section I, Art. 16; Legislature: Section V, 1, Art. 78 (4); Executive: Section V, 2, Art. 96 (2). http://www.worldstatesmen.org/Yugoslav_Const_1992.htm"
297,MMR,Myanmar,2,"As provided the Constitution of Myanmar (2008), the President shall have the power to enter into, ratify or annul international agreements which require the approval of the Pyidaungsu Hluttaw, the legislative body of Myanmar. In some cases, the President may enter into, ratify or annul international agreements without the approval of the Pyidaungsu Hluttaw, however, this authority is given by the Pyidaungsu Hluttaw. ","Constitution of the Republic of the Union of Myanmar, 2008. Legislature: Chap. IV, 108 (a) (b); Executive: Chap. V, 209 (a) (b). http://www.burmalibrary.org/docs5/Myanmar_Constitution-2008-en.pdf"
300,PRK,Democratic People's Republic of Korea,2,"Amended and supplemented socialist constitution of the DPRK is adopted in 1998 by the first session of the 1st Supreme People's Assembly (SPA). As provided by law, the SPA Presidium has the duties and authority to ratify or abrogate treaties concluded with other countries. Also, the SPA has the authority to decide on the ratification or abrogation of treaties. The Cabinet has duties and authorities to conclude treaties with foreign countries, and conduct external activities. ","DPRK's Socialist Consititution, 1998. SPA: Art. 11, Art. 91 (17); The Cabinet: Art. 119. https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/56761/95661/F1832741191/PRK56761.pdf"
301,TKL,Tokelau,4,"The capacity of Tokelau to enter into treaties shall be exercised by the Council for the ongoing Government. Also, any treaty or other international agreement shall be approved by the General Fono by Rule. General Fono, which has the executive powers, consists of the following members; the Faipule and Pulenuku of each village, and one delegate from each village for every 100 inhabitants of that village, based on the latest available census figures rounded to the nearest 100 inhabitants. No decision shall be taken by the General Fono unless at least two thirds of the members are present, including no fewer than four members from each village. Considering the members of the executive and the legislature, it can be coded as plebiscite. ","Constitution of Tokelau, 1948. 5, (2); (3); (4). http://aceproject.org/ero-en/regions/pacific/TK/tokelau-constitution/at_download/file"
305,TWN,Chinese Taipei,2,"Taiwan, officially the Republic of China (ROC) is unitary semi-presidential constitutional republic. The ROC has its own constitution, independently elected president and arms forces. As provided by the Constitution of 1947, amended in 2005, the President, the Executive Yuan (a Council of the Executive Yuan), and the Legislative Yuan shall have the power to decide international treaties. ","Taiwan (Republic of China)’s Constitution of 1947 with amendment through 2005. Chap. IV, Art. 38; Chap. V, Art. 58; Chap. VI, Art. 63; Chap XIII, Section 2, Art. 141. https://www.constituteproject.org/constitution/Taiwan_2005.pdf?lang=en"
