StatID;Label;Start;End;Comment
ACH;Aceh;1496-01-01;1874-01-30;
AFG;Afghanistan;1747-01-01;1879-12-31;Durrani Empire
ASA;Assam;1228-01-01;1817-04-30;Ahom kingdom
AST;Ashanti;1670-01-01;1896-02-01;
AUH;Austria-Hungary;1867-03-01;1918-11-12;Austro-Hungarian Compromise
AZA;Azande;1816-01-01;1895-12-31;
BDI;Urundi;1680-01-01;1890-05-14;
BHP;Bhopal;1707-01-01;1818-03-01;
BHT;Bharatpur;1707-01-01;1828-12-31;
BIK;Bikaner;1465-01-01;1818-03-09;
BNJ;Benjermassin;1526-01-01;1860-12-31;
BPR;Bahawalpur;1748-01-01;1838-01-18;
BRE;Bremen;1648-06-15;1871-01-17;
BRN;Brunei;1368-01-01;1888-01-01;Sultanate established
BTN;Bhutan;1616-01-01;1910-01-08;
BUK;Bukhara;1785-01-01;1868-06-30;Emirate of Bukhara
CAY;Cayor;1549-01-01;1859-12-31;
CHM;Chamba;920-01-01;1846-03-09;
CHN;China;1368-01-01;9999-12-31;Beginning of Ming dynasty
CUT;Cutch;1147-01-01;1816-01-15;
DFR;Darfur;1603-01-01;1874-09-30;
DIR;Dir;1626-01-01;1896-12-31;
DJA;Fouta Djallon;1725-01-01;1896-12-31;
DRV;Annam;939-01-01;1883-08-31;Independance from China
ETH;Ethiopia;1270-01-01;1936-05-05;Foundation of the Ethiopan Empire
FNJ;Funj;1504-01-01;1821-06-30;
FTO;Fouta Toro;1776-01-01;1888-12-31;
GWA;Gwalior;1731-01-01;1818-02-28;
HAW;Hawaii;1810-01-01;1898-07-06;
HBG;Hamburg;1806-01-01;1867-07-01;Sovereignty at the dissolution of the Holy Roman Empire
INO;Indore;1724-01-01;1818-12-31;
JOD;Jodhpur;1226-01-01;1818-06-06;
JOH;Johore;1518-01-01;1885-12-31;
JPN;Japan;1600-01-01;1945-08-14;"Tokugawa Shogunate and unification after the ""warring states period"""
JPR;Jaipur;1128-01-01;1818-04-25;
KAF;Kaffa;1390-01-01;1897-09-11;
KAS;Kasanje;1620-01-01;1911-12-31;
KAT;Kathiri Sultanate;1490-01-01;1888-12-31;Approximation
KZB;Kazembe;1740-01-01;1890-12-31;Approximation
KED;Kedah;1136-01-01;1821-12-31;
OFS;Orange Free State;1854-03-28;1902-05-31;Treaty of Vereeniging
KHI;Khaipur;1775-01-01;1838-12-25;
KHV;Khiva;1511-01-01;1873-08-12;
KLT;Kalat;1666-01-01;1876-12-31;
KNB;Kanem-Bornu;1380-01-01;1893-12-31;Start of the Bornu Empire
KOK;Kokand;1709-01-01;1865-05-30;
KON;Kongo Kingdom;1390-01-01;1888-12-31;Approximation
KOT;Kotah;1631-01-01;1818-12-31;
KPT;Kapurthala;1780-01-01;1826-12-31;
KRG;Karangasem (Bali and Lombok);1740-01-01;1894-01-11;
KTA;Kaarta;1650-01-01;1854-12-31;Approximation
KUB;Kuba;1625-01-01;1910-12-31;Approximation
LIM;Enarya (Limmu);1801-01-01;1849-12-31;
LIP;Lippe;1123-01-01;1867-07-01;
LSO;Basutoland (Lesotho);1822-01-01;1843-12-31;Reign of Moshoeshoe I
LUB;Luba;1585-01-01;1889-12-31;
LUN;Lunda Empire;1644-01-01;1889-12-31;
MIN;Minangkabau;1347-01-01;1837-12-31;Establishment of King Adityawarman
MMR;Myanmar;1044-01-01;1885-11-29;Unification of the Kingdom under Anawratha
MOS;Yatenga (Mossi);1200-01-01;1895-09-30;Approximation
MPR;Manipur;1110-01-01;1891-04-27;
NAG;Nagpur;1703-01-01;1818-12-31;
NAS;Nassau;1806-01-01;1866-12-31;
NPL;Nepal;1768-01-01;9999-12-31;
OLD;Oldenburg;1815-01-01;1867-07-01;
OMN;Oman;1744-01-01;1891-12-31;
OVB;Ovimbundu;1556-01-01;1903-12-31;Independance from the Kingdom of Kongo
OYO;Oyo;1608-01-01;1835-12-31;
PAH;Pahang;1470-01-01;1874-12-31;
PES;Peshwa;1674-01-01;1817-12-31;"""Peshwa"" were leaders of the Maratha Kingdom"
PAL;Palembang;1675-01-01;1823-12-31;Establishment of the Palembang Sultanate
PUN;Punjab;1801-01-01;1846-12-31;
QUA;Qu'aiti Sultanate;1858-01-01;1888-12-31;
RWA;Ruanda;1081-01-01;1890-05-14;
SAW;Sawantvadi;1627-01-01;1838-12-31;
SEG;Segou;1712-01-01;1861-03-10;
SEL;Selangor;1511-01-01;1875-10-30;
SIA;Siak;1723-01-01;1858-12-31;
SIC;Two Sicilies;1815-01-01;1861-02-13;
SID;Sind;1520-01-01;1839-12-31;Sind brought into the Mughal Empire
SIK;Sikkim;1642-01-01;1890-03-17;Foundation of the Sikkim monarchy
SIR;Sirohi;1425-01-01;1823-09-11;
SOK;Sokoto;1804-02-04;1903-03-30;
SUL;Sulu;1405-01-01;1851-04-19;
SWA;Swat;1849-01-01;1896-12-31;Establishment of the Yusafzai State of Swat
SXA;Saxe-Atenburg;1603-01-01;1867-07-01;
SXG;Saxe-Coburg-Gotha;1680-01-01;1867-07-01;
SXM;Saxe-Meiningen-Hidburghausen;1675-01-01;1867-07-01;
SXW;Saxe-Wiemar-Eisenach;1484-01-01;1867-07-01;
TER;Terengganu;1724-01-01;1862-12-31;
UGA;Buganda;1300-01-01;1884-06-18;Approximation. Kingdom founded by Kato Kintu
UPR;Udaipur;1615-01-01;1817-12-31;Mughal suzerainty over Mewar
VAT;Papal States;1849-07-02;1870-09-20;Until the capture of Rome
WAD;Wadai;1603-01-01;1906-06-06;
EAZ;Zanzibar;1856-01-01;1890-07-01;Separation from the Sultanate of Oman
ZUL;Zululand;1816-01-01;1887-12-31;Beginning of centralization under the reign of Shaka
