,StatID,Label,Capital,Area,Region,Lat,Lon
1,BAV,Bavaria,Munich,EUROPE,Western Europe,48.13743,11.57549
2,CHM,Chamba,Chamba,ASIA,Southern Asia,32.5558,76.12592
3,DRV,Annam,Hue,ASIA,South-Eastern Asia,16.46667,107.6
4,MPR,Manipur,Imphal,ASIA,Southern Asia,24.80805,93.9442
5,LIP,Lippe,Detmold,EUROPE,Western Europe,51.93855,8.87318
6,JPR,Jaipur,Jaipur,ASIA,Southern Asia,26.91962,75.78781
7,KED,Kedah,Alor Star,ASIA,South-Eastern Asia,6.12104,100.36014
8,CUT,Cutch,Bhuj,ASIA,Southern Asia,23.25397,69.66928
9,JOD,Jodhpur,Jodhpur,ASIA,Southern Asia,26.26841,73.00594
10,ASA,Assam,Dispur,ASIA,Southern Asia,26.13564,91.80069
11,UPR,Udaipur,Chittorgarh,ASIA,Southern Asia,24.5,74.5
12,MIN,Minangkabau,Batusangkar,ASIA,South-Eastern Asia,-0.45624,100.6268
13,KNB,Kanem-Bornu,Dikoa,AFRICA,Middle Africa,12.02396,13.91646
14,KAF,Kaffa,Jimma,AFRICA,Eastern Africa,7.66667,37
15,KON,Kongo Kingdom,Sao Salvador,AFRICA,Middle Africa,-12.97111,-38.51083
16,SUL,Sulu,Maimbung,ASIA,South-Eastern Asia,5.9272,121.02935
17,SIR,Sirohi,Sirohi,ASIA,Southern Asia,24.88838,72.84794
18,SIC,Two Sicilies,Naples,EUROPE,Southern Europe,40.83333,14.25
19,MOD,Modena,Modena,EUROPE,Southern Europe,44.64783,10.92539
20,BIK,Bikaner,Bikaner,ASIA,Southern Asia,28.02094,73.30749
21,PAH,Pahang,Pekan,ASIA,South-Eastern Asia,3.4836,103.3996
22,SXW,Saxe-Weimar-Eisenach,Weimar,EUROPE,Western Europe,50.9803,11.32903
23,KAT,Kathiri Sultanate,Say'un,ASIA,Western Asia,15.96611,48.7883
24,SAL,Saloum,Kahone,AFRICA,Western Africa,13.71667,-15.01667
25,ACH,Aceh,Banda Aceh,ASIA,South-Eastern Asia,5.5577,95.3222
26,SIC,Two Sicilies,Naples,EUROPE,Southern Europe,40.83333,14.25
27,FNJ,Funj,Sennar,AFRICA,Northern Africa,13.56907,33.56718
28,KHV,Khiva,Khiva,ASIA,Central Asia,41.37833,60.36389
29,SEL,Selangor,Klang,ASIA,South-Eastern Asia,3.03333,101.45
30,JOH,Johore,Johor Bahru,ASIA,South-Eastern Asia,1.4655,103.7578
31,SID,Sind,Thatta,ASIA,Southern Asia,24.74745,67.92353
32,BNJ,Benjermassin,Banjarmasin,ASIA,South-Eastern Asia,-3.31987,114.59075
33,IPH,Perak,Ipoh,ASIA,South-Eastern Asia,4.5841,101.0829
34,PMA,Parma,Parma,EUROPE,Southern Europe,44.80266,10.32898
35,CAY,Cayor,Mboul,AFRICA,Western Africa,6.26667,14.28333
36,OVB,Ovimbundu,Kuito,AFRICA,Middle Africa,-0.22985,-78.52495
37,UPR,Udaipur,Udaipur,ASIA,Southern Asia,24.57117,73.69183
38,TUS,Tuscany,Florence,EUROPE,Southern Europe,43.76667,11.25
39,LUB,Luba,Kabongo,AFRICA,Middle Africa,-6.15061,22.81719
