StatID,Capital,Lat,Lon
SMR,San Marino,43.9367,12.4463
FRA,Paris,48.85341,2.3488
BAV,Munich,48.13743,11.57549
BGR,Sofia,42.69751,23.32415
VAT,Rome,41.89474,12.4839
HRV,Zagreb,45.81444,15.97798
KOR,Seoul,37.56826,126.97783
CHM,Chamba,32.5558,76.12592
DRV,Hue,16.46667,107.6
HUN,Budapest,47.49801,19.03991
POL,Warsaw,52.22977,21.01178
ESP,Madrid,40.4165,-3.70256
GBR,London,51.5072648,-0.1278328
MPR,Imphal,24.80805,93.9442
LIP,Detmold,51.93855,8.87318
JPR,Jaipur,26.91962,75.78781
KED,Alor Star,6.12104,100.36014
PRT,Lisbon,38.71667,-9.13333
CUT,Bhuj,23.25397,69.66928
BIH,Sarajevo,43.84864,18.35644
BGR,Sofia,42.69751,23.32415
MOS,Ouagadougou,12.36566,-1.53388
JOD,Jodhpur,26.26841,73.00594
ASA,Dispur,26.13564,91.80069
THA,Bangkok,13.75398,100.50144
ALB,Tirana,41.33333,19.91667
AND,Andorra la Vella,42.50779,1.52109
CHE,Bern,46.94809,7.44744
ITA,Rome,41.89474,12.4839
UPR,Chittorgarh,24.5,74.5
SRB,Belgrade,44.80401,20.46513
MDA,Chisinau,47.00556,28.8575
MIN,Batusangkar,-0.45624,100.6268
KNB,Dikoa,12.02396,13.91646
KAF,Jimma,7.66667,37
KON,Sao Salvador,-12.97111,-38.51083
SUL,Maimbung,5.9272,121.02935
SIR,Sirohi,24.88838,72.84794
SIC,Naples,40.83333,14.25
MOD,Modena,44.64783,10.92539
TUR,Ankara,39.91987,32.85427
BIK,Bikaner,28.02094,73.30749
PAH,Pekan,3.4836,103.3996
SXW,Weimar,50.9803,11.32903
KAT,Say'un,15.96611,48.7883
SAL,Kahone,13.71667,-15.01667
ACH,Banda Aceh,5.5577,95.3222
IRN,Tehran,35.69439,51.42151
SIC,Naples,40.83333,14.25
FNJ,Sennar,13.56907,33.56718
SDN,Khartoum,15.55177,32.53241
KHV,Khiva,41.37833,60.36389
SEL,Klang,3.03333,101.45
JOH,Johor Bahru,1.4655,103.7578
SID,Thatta,24.74745,67.92353
DNK,Copenhagen,55.67594,12.56553
SWE,Stockholm,59.33258,18.0649
