COW Nr.,COW ID,State Name,Start,End,Micro,New State,,,,,,,,
8531,ACH,Aceh,1.1.1816,30.1.1874,,X,,,,,,,,
700,AFG,Afghanistan,1.1.1816,31.12.1879,,,,,,,,,,
700,AFG,Afghanistan,8.8.1919,31.12.2011,,,,,,,,,,
339,ALB,Albania,29.7.1913,9.4.1939,,,,,,,,,,
339,ALB,Albania,17.11.1944,31.12.2011,,,,,,,,,,
615,ALG,Algeria,1.1.1816,31.12.1830,,,,,,,,,,
615,ALG,Algeria,5.7.1962,31.12.2011,,,,,,,,,,
232,AND,Andorra,28.7.1993,31.12.2011,X,,,,,,,,,
540,ANG,Angola,11.11.1975,31.12.2011,,,,,,,,,,
8152,DRV,Annam,1.1.1816,31.8.1883,,,,,,,,,,
58,AAB,Antigua & Barbuda,1.11.1981,31.12.2011,X,,,,,,,,,
160,ARG,Argentina,9.7.1816,31.12.2011,,,,,,,,,,
371,ARM,Armenia,26.12.1991,31.12.2011,,,,,,,,,,
4521,AST,Ashanti,1.1.1816,1.2.1896,,X,,,,,,,,
672,ASI,Asir,1.1.1914,31.12.1926,,X,,,,,,,,
672,ASI,Asir,1.1.1818,30.4.1872,,X,,,,,,,,
7572,ASA,Assam,1.1.1816,30.4.1817,,X,,,,,,,,
900,AUL,Australia,10.1.1920,31.12.2011,,,,,,,,,,
305,AUS,Austria,11.3.1918,13.3.1938,,,,,,,,,,
305,AUS,Austria,27.7.1955,31.12.2011,,,,,,,,,,
300,AUH,Austria-Hungary,1.1.1816,12.11.1918,,,,,,,,,,
4908,AZA,Azande,1.1.1816,31.12.1895,,X,,,,,,,,
373,AZE,Azerbaijan,26.12.1991,31.12.2011,,,,,,,,,,
267,BAD,Baden,1.1.1816,18.1.1871,,,,,,,,,,
31,BHM,Bahamas,10.7.1973,31.12.2011,,,,,,,,,,
7694,BPR,Bahawalpur,1.1.1816,18.1.1838,,X,,,,,,,,
692,BAH,Bahrain,15.8.1971,31.12.2011,,,,,,,,,,
771,BNG,Bangladesh,16.12.1972,31.12.2011,,,,,,,,,,
53,BAR,Barbados,30.11.1966,31.12.2011,,,,,,,,,,
570,LES,Basutoland (Lesotho),1.1.1816,31.12.1843,,X,,,,,,,,
570,LES,Basutoland (Lesotho),1.1.1854,30.3.1868,,X,,,,,,,,
245,BAV,Bavaria,1.1.1816,18.1.1871,,,,,,,,,,
370,BLR,Belarus,26.12.1991,31.12.2011,,,,,,,,,,
211,BEL,Belgium,20.12.1830,28.5.1940,,,,,,,,,,
211,BEL,Belgium,26.6.1945,31.12.2011,,,,,,,,,,
80,BLZ,Belize,21.9.1981,31.12.2011,,,,,,,,,,
434,BEN,Benin,1.8.1960,31.12.2011,,,,,,,,,,
8543,BNJ,Benjermassin,1.1.1816,31.12.1860,,X,,,,,,,,
7589,BHT,Bharatpur,1.1.1816,18.1.1828,,X,,,,,,,,
7533,BHP,Bhopal,1.1.1816,1.12.1817,,X,,,,,,,,
760,BHU,Bhutan,1.1.1816,8.1.1910,,X,,,,,,,,
760,BHU,Bhutan,21.9.1971,31.12.2011,,,,,,,,,,
7511,BIK,Bikaner,1.1.1816,9.5.1818,,X,,,,,,,,
145,BOL,Bolivia,6.8.1825,31.12.1836,,,,,,,,,,
145,BOL,Bolivia,1.1.1840,31.12.2011,,,,,,,,,,
346,BOS,Bosnia and Herzegovina,7.4.1992,31.12.2011,,,,,,,,,,
571,BOT,Botswana,30.9.1966,31.12.2011,,,,,,,,,,
140,BRA,Brazil,7.9.1822,31.12.2011,,,,,,,,,,
246,BRE,Bremen,1.1.1816,17.1.1871,,X,,,,,,,,
835,BRU,Brunei,1.1.1816,1.1.1888,,X,,,,,,,,
835,BRU,Brunei,1.1.1984,31.12.2011,,,,,,,,,,
5001,BUG,Buganda,1.1.1816,18.6.1884,,X,,,,,,,,
7020,BUK,Bukhara,1.1.1816,30.6.1868,,X,,,,,,,,
355,BUL,Bulgaria,1.1.1898,31.12.2011,,,,,,,,,,
439,BFO,Burkina Faso,5.8.1960,31.12.2011,,,,,,,,,,
516,BUI,Burundi,1.7.1962,31.12.2011,,,,,,,,,,
811,CAM,Cambodia,9.11.1953,31.12.2011,,,,,,,,,,
471,CAO,Cameroon,1.1.1960,31.12.2011,,,,,,,,,,
20,CAN,Canada,10.1.1920,31.12.2011,,,,,,,,,,
402,CAP,Cape Verde,5.7.1975,31.12.2011,,,,,,,,,,
4333,CAY,Cayor,1.1.1816,31.12.1859,,X,,,,,,,,
482,CEN,Central African Republic,13.8.1960,31.12.2011,,,,,,,,,,
483,CHA,Chad,11.8.1960,31.12.2011,,,,,,,,,,
7590,CHM,Chamba,1.1.1816,9.3.1846,,X,,,,,,,,
155,CHL,Chile,1.4.1818,31.12.2011,,,,,,,,,,
710,CHN,China,1.1.1816,31.12.2011,,,,,,,,,,
100,COL,Colombia,30.8.1821,31.12.2011,,,,,,,,,,
581,COM,Comoros,31.12.1975,31.12.2011,,,,,,,,,,
484,CON,Congo,15.8.1960,31.12.2011,,,,,,,,,,
94,COS,Costa Rica,1.1.1840,31.12.2011,,,,,,,,,,
344,CRO,Croatia,15.1.1992,31.12.2011,,,,,,,,,,
40,CUB,Cuba,20.5.1902,25.9.1906,,,,,,,,,,
40,CUB,Cuba,23.1.1909,31.12.2011,,,,,,,,,,
7591,CUT,Cutch,1.1.1816,15.1.1816,,X,,,,,,,,
352,CYP,Cyprus,16.8.1960,31.12.2011,,,,,,,,,,
316,CZR,Czech Republic,1.1.1993,31.12.2011,,,,,,,,,,
315,CZE,Czechoslovakia,28.10.1918,15.3.1939,,,,,,,,,,
315,CZE,Czechoslovakia,10.5.1945,31.12.1992,,,,,,,,,,
434,DAH,Dahomey,1.1.1820,17.11.1895,,X,,,,,,,,
6251,DFR,Darfur,1.1.1816,30.9.1874,,X,,,,,,,,
490,DRC,Democratic Republic of the Congo,30.6.1960,31.12.2011,,,,,,,,,,
390,DEN,Denmark,1.1.1816,9.4.1940,,,,,,,,,,
390,DEN,Denmark,7.5.1945,31.12.2011,,,,,,,,,,
7705,DIR,Dir,1.1.1816,31.12.1896,,X,,,,,,,,
522,DJI,Djibouti,27.6.1977,31.12.2011,,,,,,,,,,
54,DMA,Dominica,3.11.1978,31.12.2011,X,,,,,,,,,
42,DOM,Dominican Republic,1.1.1844,29.11.1861,,,,,,,,,,
42,DOM,Dominican Republic,16.1.1865,16.5.1916,,,,,,,,,,
42,DOM,Dominican Republic,29.9.1924,31.12.2011,,,,,,,,,,
860,ETM,East Timor,27.9.2002,31.12.2011,,,,,,,,,,
7103,ETS,Eastern Turkistan,1.1.1874,31.12.1877,,,,,,,,,,
130,ECU,Ecuador,1.1.1830,31.12.2011,,,,,,,,,,
651,EGY,Egypt,1.1.1833,15.9.1882,,,,,,,,,,
651,EGY,Egypt,26.5.1937,31.12.2011,,,,,,,,,,
92,SAL,El Salvador,1.1.1840,31.12.2011,,,,,,,,,,
5321,LIM,Enarya (Limmu),1.1.1816,31.12.1849,,X,,,,,,,,
411,EQG,Equatorial Guinea,12.10.1968,31.12.2011,,,,,,,,,,
531,ERI,Eritrea,24.5.1993,31.12.2011,,,,,,,,,,
366,EST,Estonia,24.2.1918,16.6.1940,,,,,,,,,,
366,EST,Estonia,6.9.1991,31.12.2011,,,,,,,,,,
530,ETH,Ethiopia,1.1.1816,5.5.1936,,,,,,,,,,
530,ETH,Ethiopia,5.5.1941,31.12.2011,,,,,,,,,,
987,FSM,Federated States of Micronesia,3.11.1986,31.12.2011,X,,,,,,,,,
950,FIJ,Fiji,10.10.1970,31.12.2011,,,,,,,,,,
375,FIN,Finland,6.12.1917,31.12.2011,,,,,,,,,,
4381,DJA,Fouta Djallon,1.1.1816,31.12.1896,,X,,,,,,,,
4331,FTO,Fouta Toro,1.1.1816,31.12.1888,,,,,,,,,,
220,FRN,France,1.1.1816,11.11.1942,,,,,,,,,,
220,FRN,France,25.8.1944,31.12.2011,,,,,,,,,,
6252,FNJ,Funj,1.1.1816,30.6.1821,,X,,,,,,,,
481,GAB,Gabon,17.8.1960,31.12.2011,,,,,,,,,,
420,GAM,Gambia,18.2.1965,31.12.2011,,,,,,,,,,
5516,GAZ,Gaza Empire,1.1.1837,28.12.1895,,X,,,,,,,,
372,GRG,Georgia,26.12.1991,31.12.2011,,,,,,,,,,
255,GMY,Germany,1.1.1816,8.5.1945,,,,,,,,,,
255,GMY,Germany,3.10.1990,31.12.2011,,,,,,,,,,
265,GDR,German Democratic Republic,25.3.1954,2.10.1990,,,,,,,,,,
260,GFR,German Federal Republic,5.5.1955,2.10.1990,,,,,,,,,,
452,GHA,Ghana,6.3.1957,31.12.2011,,,,,,,,,,
350,GRC,Greece,1.1.1828,23.4.1941,,,,,,,,,,
350,GRC,Greece,13.10.1944,31.12.2011,,,,,,,,,,
55,GRN,Grenada,7.2.1974,31.12.2011,X,,,,,,,,,
90,GUA,Guatemala,1.1.1840,31.12.2011,,,,,,,,,,
438,GUI,Guinea,2.10.1958,31.12.2011,,,,,,,,,,
404,GNB,Guinea-Bissau,10.9.1974,31.12.2011,,,,,,,,,,
110,GUY,Guyana,26.5.1966,31.12.2011,,,,,,,,,,
7579,GWA,Gwalior,1.1.1816,28.2.1818,,X,,,,,,,,
41,HAI,Haiti,1.1.1816,28.7.1915,,,,,,,,,,
41,HAI,Haiti,15.8.1934,31.12.2011,,,,,,,,,,
248,HBG,Hamburg,1.1.1816,1.7.1867,,X,,,,,,,,
240,HAN,Hanover,1.1.1816,26.7.1866,,,,,,,,,,
4,HAW,Hawaii,1.1.1816,6.7.1898,,X,,,,,,,,
