COWNum,COWID,StateName,OtherName,ISD_Category,Region,Start,Start_Am,EStart,EStart_Am,Declare,DecDate,Population,PopDate,PopAm,PopulationHigh,PopulationLow,StartType,StartType_Am,StartSettle,End,End_Am,EndType,EndType_Am,EndSettle,Sovereignty_Am,EuroDip,Borders,Borders_Am,Latitude,Longitude,Capital,VioStart,VioStart_Am,VioEnd,VioEnd_Am,DestinationA,DestinationB,DestinationC,DestinationD,DestinationE,DestinationF,DestinationG,DestinationH,DestinationI,DestinationJ,DestinationK,DestinationL,DestinationM,DestinationN,DestinationO,DestinationP,DestinationQ,DestinationR,DestinationS,DestinationT,DestinationU
4741,ABJ,Abuja Emirate,Suleja Emirate,3,1,1828-01-01,1,-9,-9,0,-9,-9,1952,1,70000,-9,1,0,0,1902-12-31,0,1,0,0,0,-9,0,1,9 4 0 N,7 29 0 E,Abuja,0,0,1,0,475,,,,,,,,,,,,,,,,,,,,
8531,ACH,Aceh,Atjeh Acheh,1,3,1816-01-01,0,1514,0,1,-9,180000,1620,0,200000,160000,2,0,0,1874-12-31,0,1,0,0,0,1,0,1,5 33 0 N,95 19 3 E,Kutaraja/Banda Aceh,-9,-9,1,0,850,,,,,,,,,,,,,,,,,,,,
4752,ADA,Adamawa,Adamawa Emirate Fombina Gongola,3,1,1841-01-01,0,-9,-9,0,-9,3000000,1882,0,-9,-9,2,0,0,1893-11-14,0,1,0,1,0,1,0,1,9 13 48 N,12 27 36 E,Yola,1,0,1,0,475,,,,,,,,,,,,,,,,,,,,
700,AFG,Afghanistan,"(of the) Durranis, Durrani Empire, Kingdom of Kabul, of Caboul",1,2,1816-01-01,0,1747,0,0,-9,4004000,1876,0,5120000,4000000,2,1,0,1879-05-01,0,1,0,1,1,1,1,1,34 31 31 N,69 10 42 E,Kabul,1,0,1,0,700,,,,,,,,,,,,,,,,,,,,
700,AFG,Afghanistan,-9,1,2,1919-08-08,0,-9,-9,0,-9,7000000,1930,0,-9,-9,5,0,1,2016-12-31,0,-9,-9,-9,0,1,1,0,34 31 31 N,69 10 42 E,Kabul,1,0,-9,-9,700,,,,,,,,,,,,,,,,,,,,
339,ALB,Albania,-9,1,5,1913-07-29,1,-9,-9,1,28-11-1912,524217,1918,0,900000,-9,2,0,1,1939-04-09,0,2,0,-9,0,1,1,1,41 19 44 N,19 49 4 E,Tirana,1,1,1,0,339,,,,,,,,,,,,,,,,,,,,
339,ALB,Albania,-9,1,5,1944-11-17,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
615,ALG,Algeria,-9,2,1,1816-01-01,0,1525,1,0,-9,2000000,1825,0,3500000,-9,2,0,0,1847-12-21,0,2,0,1,0,1,1,0,36 45 14 N,3 3 32 E,Algiers,1,0,1,0,615,,,,,,,,,,,,,,,,,,,,
615,ALG,Algeria,-9,1,1,1962-07-05,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
232,AND,Andorra,-9,1,5,1993-07-28,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
540,ANG,Angola,-9,1,1,1975-11-11,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2016-12-31,0,-9,-9,-9,0,-9,-9,-9,-9,-9,,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,
243,AHB,Anhalt-Bernburg,-9,3,5,1816-01-01,0,1815,1,-9,-9,37046,1816,0,43860,37046,2,1,1,1863-08-22,1,3,0,0,0,1,-9,1,51 48 0 N,11 44 0 E,Bernburg,0,1,0,0,255,265,,,,,,,,,,,,,,,,,,,
241,ANH,Anhalt-Dessau,Anhalt,3,5,1816-01-01,0,1815,1,-9,-9,52947,1816,0,114850,-9,2,1,1,1866-08-18,0,3,0,1,0,1,1,1,51 50 00 N,12 15 0 E,Dessau,0,1,0,0,255,265,,,,,,,,,,,,,,,,,,,
242,AHK,Anhalt-Kothen,"Anhalt-Cothen, Anhalt-Coethen, Anhalt-K??then",3,5,1816-01-01,0,1815,1,-9,-9,32454,1816,0,36000,32454,2,1,1,1847-11-23,0,3,0,1,0,1,-9,1,51 45 0 N,11 55 0 E,Köthen,0,1,0,0,255,265,,,,,,,,,,,,,,,,,,,
