"","StatID","Label","Regex"
"1","ABK","Abkhazia","abkhaz"
"2","ACH","Aceh","aceh"
"3","AFG","Afghanistan","afghan"
"4","AGO","Angola","angola"
"5","ALB","Albania","albania"
"6","ALT","Los Altos","los altos"
"7","AND","Andorra","andorra"
"8","ARE","United Arab Emirates","emirates|u\.?a\.?e\.?$|united.?arab.?em"
"9","ARG","Argentina","argentin"
"10","ARM","Armenia","armenia"
"11","ASA","Assam","assam"
"12","ASI","Asir","asir"
"13","AST","Ashanti","ashanti"
"14","ATG","Antigua and Barbuda","antigua|barbuda"
"15","AUH","Austria-Hungary","austria-hungary"
"16","AUS","Australia","australia"
"17","AUT","Austria","(?!.*hungary).*austria|\baustri.*\bemp"
"18","AZA","Azande","azande"
"19","AZE","Azerbaijan","azerbaijan"
"20","BAD","Baden","baden"
"21","BAV","Bavaria","bavaria"
"22","BDI","Burundi","burundi"
"23","BEL","Belgium","(?!.*luxem).*belgium"
"24","BEN","Dahomey","benin|dahome"
"25","BFA","Burkina Faso","burkina|\bfaso|upper.?volta"
"26","BGD","Bangladesh","bangladesh|(?=.*east).*paki?stan"
"27","BGR","Bulgaria","bulgaria"
"28","BHP","Bhopal","bhopal"
"29","BHR","Bahrain","bahr.?in|bahre.?n"
"30","BHS","Bahamas","bahamas"
"31","BHT","Bharatpur","bharatpur"
"32","BIH","Bosnia and Herzegovina","herzegovina|bosnia"
"33","BIK","Bikaner","bikaner"
"34","BLR","Belarus","belarus|byelo"
"35","BLZ","Belize","belize|(?=.*british).*honduras"
"36","BNJ","Benjermassin","benjermassin"
"37","BOL","Plurinational State of Bolivia","bolivia"
"38","BPR","Bahawalpur","bahawalpur"
"39","BRA","Brazil","brazil|brasil"
"40","BRB","Barbados","barbados"
"41","BRE","Bremen","bremen"
"42","BRN","Brunei","brun.?i"
"43","BTN","Bhutan","bhutan"
"44","BUK","Bukhara","bukhara"
"45","BUR","Urundi","urundi"
"46","BWA","Botswana","botswana|bechuana"
"47","CAF","Central African Republic","\bcentral.african.republic"
"48","CAN","Canada","canada"
"49","CAY","Cayor","cayor|Kajoor"
"50","CHE","Switzerland","switz|swiss"
"51","CHL","Chile","\bchile"
"52","CHM","Chamba","chamba"
