"","StatID","Label","Regex"
"1","ABK","Abkhazia","abkhaz"
"2","ACH","Aceh","aceh"
"3","AFG","Afghanistan","afghan|afghanistan"
"4","AGO","Angola","angola"
"5","ALB","Albania","albania|albanie"
"6","ALT","Los Altos","los altos"
"7","AND","Andorra","andorra|andorre"
"8","ARE","United Arab Emirates","emirates|u[[:punct:]]a[[:punct:]]e[[:punct:]]|uae|united.?arab.?em|emirats arabes unis"
"9","ARG","Argentina","argentin|argentine"
"10","ARM","Armenia","armenia|armenie"
"11","ASA","Assam","assam"
"12","ASI","Asir","asir"
"13","AST","Ashanti","ashanti"
"14","ATG","Antigua and Barbuda","antigua|barbuda|antigua-et-barbuda"
"15","AUH","Austria-Hungary","austria-hungary"
"16","AUS","Australia","australia|australie"
"17","AUT","Austria","austria(?!-hungary| hungary)|austri.*emp|austrian|autriche"
"18","AZA","Azande","azande"
"19","AZE","Azerbaijan","azerbaijan|azerbaidjan"
"20","BAD","Baden","baden"
"21","BAV","Bavaria","bavaria"
"22","BDI","Burundi","burundi"
"23","BEL","Belgium","(?!.*luxem).*belgium|belgian|flemish|belgique"
"24","BEN","Benin","benin|dahome|dahomey"
"25","BFA","Burkina Faso","burkina|\bfaso|upper.?volta|burkina faso"
"26","BGD","Bangladesh","bangladesh|(?=.*east).*paki?stan|bangladesh"
"27","BGR","Bulgaria","bulgaria|bulgarie"
"28","BHP","Bhopal","bhopal"
"29","BHR","Bahrain","bahr.?in|bahre.?n|bahrein"
"30","BHS","Bahamas","bahamas"
"31","BHT","Bharatpur","bharatpur"
"32","BIH","Bosnia and Herzegovina","herzegovina|bosnia|bosnie-herzegovine"
"33","BIK","Bikaner","bikaner"
"34","BLR","Belarus","belarus|byelo|bielorussie"
"35","BLZ","Belize","belize|(?=.*british).*honduras|belize"
"36","BNJ","Benjermassin","benjermassin"
"37","BOL","Plurinational State of Bolivia","bolivia|bolivie"
"38","BPR","Bahawalpur","bahawalpur"
"39","BRA","Brazil","brazil|brasil|bresil"
"40","BRB","Barbados","barbados|barbade"
"41","BRE","Bremen","bremen"
"42","BRN","Brunei Darussalam","brun.?i|brunei darussalam"
"43","BTN","Bhutan","bhutan|bhoutan"
"44","BUK","Bukhara","bukhara"
"45","BUR","Urundi","urundi"
"46","BWA","Botswana","botswana|bechuana|botswana"
