StatID,Label,Regex
ABK,Abkhazia,NA
ACH,Aceh,NA
AFG,Afghanistan,afghan
AGO,Angola,angola
ALB,Albania,albania
ALT,Los Altos,NA
AND,Andorra,andorra
ARE,United Arab Emirates,emirates|u\.?a\.?e\.?$|united.?arab.?em
ARG,Argentina,argentin
ARM,Armenia,armenia
ASA,Assam,NA
ASI,Asir,NA
AST,Ashanti,NA
ATG,Antigua and Barbuda,antigua
AUH,Austria-Hungary,austria-hungary
AUS,Australia,australia
AUT,Austria,(?!.*hungary).*austria|\baustri.*\bemp
AZA,Azande,NA
AZE,Azerbaijan,azerbaijan
BAD,Baden,baden
BAV,Bavaria,bavaria
BDI,Urundi,burundi
BEL,Belgium,(?!.*luxem).*belgium
BEN,Dahomey,benin|dahome
BFA,Burkina Faso,burkina|\bfaso|upper.?volta
BGD,Bangladesh,bangladesh|(?=.*east).*paki?stan
BGR,Bulgaria,bulgaria
BHP,Bhopal,NA
BHR,Bahrain,bahrain
BHS,Bahamas,bahamas
BHT,Bharatpur,NA
BIH,Bosnia and Herzegovina,herzegovina|bosnia
BIK,Bikaner,NA
BLR,Belarus,belarus|byelo
BLZ,Belize,belize|(?=.*british).*honduras
BNJ,Benjermassin,NA
BOL,Plurinational State of Bolivia,bolivia
BPR,Bahawalpur,NA
BRA,Brazil,brazil
BRB,Barbados,barbados
BRE,Bremen,NA
BRN,Brunei,brunei
BTN,Bhutan,bhutan
BUK,Bukhara,NA
BUR,Urundi,NA
BWA,Botswana,botswana|bechuana
CAF,Central African Republic,\bcentral.african.republic
CAN,Canada,canada
CAY,Cayor,NA
CHE,Switzerland,switz|swiss
CHL,Chile,\bchile
CHM,Chamba,NA
CHN,China,(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|(?=.*peo)(?=.*rep).*china
CIV,Cote d'Ivoire,ivoire|ivory
CMR,Cameroon,cameroon
COD,Democratic Republic of the Congo,\bdem.*congo|congo.*\bdem|congo.*\bd[\.]?r|\bd[\.]?r.*congo|belgian.?congo|congo.?free.?state|kinshasa|zaire|l.opoldville|drc|droc|rdc
COG,Congo,(?!.*\bdem)(?!.*\bd[\.]?r)(?!.*kinshasa)(?!.*zaire)(?!.*belg)(?!.*l.opoldville)(?!.*free).*\bcongo
COK,Cook Islands,\bcook
COL,Colombia,colombia
COM,Comoros,comoro
CPV,Cape Verde,verde
CRI,Costa Rica,costa.?rica
CUB,Cuba,\bcuba
CUT,Cutch,NA
CYP,Cyprus,cyprus
CZE,Czech Republic,(?=.*rep).*czech|czechia|bohemia|czechoslovakia
DDR,German Democratic Republic,german.?democratic.?rep|democratic.?rep.*germany|east.germany|germany.*east
DEU,Germany (Prussia),(?!.*east).*germany|(?=.*\bfed.*\brep).*german
DFR,Darfur,NA
DIR,Dir,NA
DJA,Fouta Djallon,NA
DJI,Djibouti,djibouti
DMA,Dominica,dominica(?!n)
DNK,Denmark,denmark
DOM,Dominican Republic,dominican.rep
DRV,Annam,NA
DZA,Ottoman Algeria,algeria
DZG,Free City of Danzig,NA
EAZ,Zanzibar,zanzibar
ECU,Ecuador,ecuador
EGY,Egypt,egypt
EHT,State of Haiti,NA
ERI,Eritrea,eritrea
ESP,Spain,spain|castile
EST,Estonia,estonia
ETH,Ethiopia,ethiopia|abyssinia
ETS,Eastern Turkistan,NA
EUE,European Union,NA
FIN,Finland,finland
FJI,Fiji,fiji
FNJ,Funj,NA
FRA,France,(?!.*\bdep)(?!.*martinique).*france|french.?republic|\bgaul
FRO,Faroe Islands,faroe|faeroe
FSM,Federated States of Micronesia,fed.*micronesia|micronesia.*fed
FTO,Fouta Toro,NA
GAB,Gabon,gabon
GBR,United Kingdom,united.?kingdom|britain|u\.?k\.?$
GCL,Gran Colombia,NA
GEO,Georgia,(?!.*south).*georgia
GHA,Ghana,ghana|gold.?coast
GIN,Guinea,(?!.*eq)(?!.*span)(?!.*bissau)(?!.*portu)(?!.*new).*guinea
GMB,Gambia,gambia
GNB,Guinea-Bissau,bissau|(?=.*portu).*guinea
